"Moip Interest Amount","Juros de Pacelamento (Moip)"
"Please select","Por favor selecione"
"Select the store segment.","Selecione o segmento de sua loja."
"Animals and Pet Supplies","Animais e suprimentos para animais de estimação"
"Apparel and Accessories","Vestuário e acessórios"
"Apparel and Accessories > Clothing","Vestuário e acessórios > Roupas"
"Apparel and Accessories > Clothing Accessories","Vestuário e acessórios > Acessórios para roupas"
"Apparel and Accessories > Costumes and Accessories","Vestuário e acessórios > Trajes e acessórios"
"Apparel and Accessories > Handbags and Wallet Accessories","Vestuário e acessórios > Bolsas e acessórios de carteira"
"Apparel and Accessories > Jewelry","Vestuário e acessórios > Joias"
"Apparel and Accessories > Shoe Accessories","Vestuário e acessórios > Acessórios para sapatos"
"Apparel and Accessories > Shoes","Vestuário e acessórios > Sapatos"
"Apparel and Accessories > Other","Vestuário e acessórios > Outros"
"Arts and Entertainment","Artes e Entretenimento"
"Baby and Toddler","Bebê e criança"
"Business and Industrial","Negócios e industrial"
"Business and Industrial > Advertising and Marketing","Negócios e industrial > Publicidade e marketing"
"Business and Industrial > Agriculture","Negócios e industrial > Agricultura"
"Business and Industrial > Construction","Negócios e Industrial > Construção"
"Business and Industrial > Film and Television","Negócios e Indústria > Cinema e Televisão"
"Business and Industrial > Finance and Insurance","Negócios e industrial > Finanças e seguros"
"Business and Industrial > Food Service","Negócios e industrial > Food Service"
"Business and Industrial > Forestry and Logging","Negócios e industrial > Silvicultura e exploração madeireira"
"Business and Industrial > Heavy Machinery","Negócios e industrial > Maquinaria pesada"
"Business and Industrial > Hotel and Hospitality","Negócios e industrial > Hotelaria e hospitalidade"
"Business and Industrial > Industrial Storage","Negócios e industrial > Armazenamento industrial"
"Business and Industrial > Law Enforcement","Negócios e industrial > Polícia"
"Business and Industrial > Manufacturing","Negócios e industrial > Manufatura"
"Business and Industrial > Material Handling","Negócios e industrial > Manuseio de materiais"
"Business and Industrial > Medical","Negócios e industrial > Medicina"
"Business and Industrial > Mining and Quarrying","Negócios e Industrial > Mineração e Pedreira"
"Business and Industrial > Piercing and Tattooing","Negócios e Industrial > Piercing e tatuagem"
"Business and Industrial > Retail","Negócios e Industrial > Varejo"
"Business and Industrial > Science and Laboratory","Negócios e Indústria > Ciência e Laboratório"
"Business and Industrial > Signage","Negócios e Industrial > Sinalização"
"Business and Industrial > Work Safety Protective Gear","Negócios e Industrial> Equipamento de proteção para segurança do trabalho"
"Business and Industrial > Other Businesses","Negócios e Industrial > Outros negócios"
"Camera and Optic Accessories","Câmera e acessórios ópticos"
"Camera and Optic Accessories > Cameras","Câmera e acessórios ópticos > Câmeras"
"Camera and Optic Accessories > Camera Acessories","Câmera e acessórios ópticos > Acessórios para câmeras"
"Camera and Optic Accessories > Photography","Câmera e acessórios ópticos > Fotografia"
"Camera and Optic Accessories > Others Cameras Accessories","Câmera e acessórios ópticos > Outros acessórios para câmeras"
Electronics,Eletrônicos
"Electronics > 3d Printers","Eletrônicos > Impressoras 3D"
"Electronics > Audio","Eletrônicos > Áudio"
"Electronics > Circuit Boards and Components","Eletrônicos > Placas de circuito e componentes"
"Electronics > Communications","Eletrônicos > Comunicações"
"Electronics > Components","Eletrônicos > Componentes"
"Electronics > Computers","Eletrônicos > Computadores"
"Electronics > Electronics Accessories","Eletrônicos > Acessórios eletrônicos"
"Electronics > Gps Navigation Systems","Eletrônicos > Sistemas de navegação GPS"
"Electronics > Gps Accessories","Eletrônicos > Acessórios GPS"
"Electronics > Networking","Eletrônicos > Rede"
"Electronics > Print Copy Scan and Fax","Eletrônicos > Imprimir cópia, digitalização e fax"
"Electronics > Printer Copier and Fax Machine Accessories","Eletrônicos > Acessórios para copiadora de impressora e fax"
"Electronics > Video","Eletrônicos > Vídeo"
"Electronics > Video Game Consoles","Eletrônicos > Consoles de videogame"
"Electronics > Video Game Console Accessories","Eletrônicos > Acessórios para console de videogame"
"Electronics > Other Electronics","Eletrônicos > Outros eletrônicos"
"Food Beverages and Tobacco","Alimentos Bebidas e Tabaco"
Furniture,Mobiliário
"Tool Accessories","Acessórios para ferramentas"
"Health and Beauty","Saúde e beleza"
"Health and Beauty > Perfume and Cologne","Saúde e Beleza > Perfume e Colônia"
"Health and Beauty > Makeup","Saúde e Beleza > Maquiagem"
"Health and Beauty > Bath and Body","Saúde e beleza > Banho e corpo"
"Health and Beauty > Cosmetic Tools","Saúde e beleza > Ferramentas cosméticas"
"Luggage and Bags","Bagagem e bolsas"
Adult,Adulto (maiores de 18 anos)
"Weapons and Ammunition","Armas e munições"
"Office Supplies","Material de escritório"
"Religious and Ceremonial","Religioso e cerimonial"
Software,Software
"Software > Computer Software","Software > Software de computador"
"Software > Digital Goods and Currency","Software > Bens digitais e moeda"
"Software > Digital Services","Software > Serviços Digitais"
"Software > Video Game Software","Software > Software de videogame"
"Software > Other Softwares","Software > Outros Softwares"
"Sporting Goods","Artigos esportivos"
"Toys and Games","Brinquedos e jogos"
"Vehicles and Parts","Veículos e peças"
Books,Livros
"Dvds and Videos","DVDs e vídeos"
"Magazines and Newspapers","Revistas e Jornais"
Music,Música
"Music > Cds and Lps","Música > Cds e Lps"
"Music > Musical Instruments","Música > Instrumentos Musicais"
"Music > Digital Music","Música > Música Digital"
"Music > Other Music Items","Música > Outros itens musicais"
"Music > Other Categories","Música > Outras categorias"
Production,Produção
"Sandbox - Environment for tests","Sandbox - Ambiente de testes"
"Environment for tests","Ambiente de teste"
"Authorize in %s","Autorizar APP em %s"
"Disallow in %s","Desautorizar APP em %s"
Configure,Configuração
Close,Fechar
"1st line of the street","1ª linha do endereço"
"2st line of the street","2ª linha do endereço"
"3st line of the street","3ª linha do endereço"
"4st line of the street","4ª linha do endereço"
"by customer form (customer account)","pelo formulário de cliente (conta do cliente)"
"by address form (checkout)","pelo formulário de checkout (formulário de pedido)"
"x of ","x de "
"To make payment click here","Para efetuar o pagamento clique aqui"
"Installment Interest","Juros de parcelamento"
"Discount Cash","desconto à vista"
"%1 payments have been updated.","%1 pagamentos foram atualizados."
"%1 payments have not yet been updated.","%1 pagamentos ainda não foram atualizados."
"Unable to get the code, try again. =(","Não foi possível obter o código, tente novamente. =("
"Your module is authorized, but you have reached the notification url preference limit.","Seu módulo está autorizado, mas você atingiu o limite de preferência de url de notificação."
"Your module is authorized. =)","Seu módulo está autorizado. =)"
"We did not record the payment.","Não registramos o pagamento."
"The payment deadline has been exceeded.","O prazo de pagamento foi ultrapassado."
"%1, code %2, by %3","%1, código de cancelamento %2, por %3"
%1,%1
"Transaction has been declined. Please try again later.","A transação foi recusada. Por favor, tente novamente mais tarde."
"Your payment has been successfully received.","Seu pagamento foi recebido com sucesso."
"Gateway rejected the transaction.","Gateway rejeitou a transação."
Authorize,Autorizar
"<error>Error %1</error>","<error>Erro %1</error>"
"<info>Preference ID: %1 Target Uri: %2</info>","<info>Preferência ID: %1 Target Uri: %2</info>"
Finished,Concluída
"<info>Setting preferences for the domain: %1</info>","<info>Definir preferências para o domínio: %1</info>"
"<error>The URL entered is invalid %1, it must contain https://...</error>","<error>A URL inserida %1 é inválido, deve conter https://...</error>"
"<error>Your url %1 is valid, but must end with '/'</error>","<error>Sua url %1 é válida, mas deve terminar com '/'</error>"
"<info>Your preference for method %1 has been successfully created: %2</info>","<info>Sua preferência para o método %1 foi criada com sucesso: %2</info>"
"<error>Error saving information in database: %1</error>","<error>Erro ao salvar informações no banco de dados: %1</error>"
"<error>Error creating preference %1: %2</error>","<error>Erro ao criar preferência %1: %2</error>"
"<error>error deleting %1: %2</error>","<error>erro de exclusão %1: %2</error>"
"<info>Deleted preference %1</info>","<info>Preferência excluída %1</info>"
"Cart %1 doesn't contain products","O carrinho %1 não contém produtos"
"The moip interest # number could not be saved","Não foi possível salvar o número de juros"
Moip,Moip
"Refund Request to Bank %1, Agency Number %2, Agency Check Number %3, Account Number %4, Account Check Number %5, Holder Name %6, Holder Tax Document %7","Solicitação de reembolso para o banco %1, número da agência %2, número do cheque da agência %3, número da conta %4, número do cheque da conta %5, nome do titular %6, documento fiscal do titular %7"
Due,Vencimento
Instruction,Informações
"Credit Card Holder Tax Document","CPF/CNPJ do titular do cartão de crédito"
"Credit Card Holder Phone","Telefone do titular do cartão de crédito"
"Format: (99)99999-9999","Formato: (99)99999-9999"
"Credit Card Holder Birth Date","Data de nascimento do titular do cartão de crédito"
"Format: 31/12/1985","Formato: 31/12/1985"
"Credit Card Holder Full Name","Nome impresso no cartão"
"Credit Card Type","Bandeira do cartão de crédito"
"Credit Card Number","Número do cartão de crédito"
"Expiration Date","Data de vencimento"
"Card Verification Number","CVV - Código de segurança"
"Select Instalmment","Selecione o número de parcelas"
"Holder Tax Document","CPF/CNPJ do pagador"
"Holder Name","Nome completo do pagador"
"Holder Fullname","Nome completo do pagador"
"Allows Installment","Permite parcelar"
No,Não
Yes,Sim
ending,final
expires,vencimento
"Payment &amp; Shipping Method","Pagamento &amp; Meio de Envio"
"Payment Information","Informações de Pagamento"
"The order was placed using %1.","O pedido foi feito usando %1."
"Shipping Information","Meio de Envio"
"Total Shipping Charges","Total de despesas de envio"
"Incl. Tax","Incl. Taxas"
"Bank details for refund","Dados bancários para reembolso"
"Owner of the account","Dono da conta"
"Name of the account holder.","Nome do titular da conta."
"Owner tax document","Documento fiscal do proprietário"
"Tax document of the holder.","Documento fiscal (CPF/CNPJ) do titular."
"Bank Number","Número do banco"
"See bank number <a href=""%1"" target=""_blank"">here</a>","Veja o número do banco <a href=""%1"" target=""_blank"">aqui</a>"
"Agency Number","Número da Agência"
"Agency Check Number","Dígito da Agência"
"Account Number","Número da conta"
"Account Check Number","Dígito da conta"
"The barcode of your ticket bank is:","Linha digitável:"
Copy,Copiar
"Print your ticket bank","Imprimir Boleto"
"Payer Full Name","Nome completo do pagador"
"Payer Tax Document","CPF/CNPJ do pagador"
"Boleto Information","Boleto"
Waiting...,Aguardando...
"Place Order","Concluir Pedido"
"Credit Card Information","Cartão de Crédito"
"What is this?","O que é isso?"
"CVV - Card Verification Number","CVV - Código de segurança do cartão"
"Expiration Month","Mês de vencimento"
"Expiration Year","Ano de vencimento"
"Save for later use.","Salvar para uso futuro."
"For Visa, MasterCard, DinersClub, Elo, Hiper, HiperCard a 3-digit number in reverse italics on the back of your credit card. For American Express a 4-digit number on the front, just above your credit card number","Para Visa, MasterCard, DinersClub, Elo, Hiper, HiperCard, é o número de 3 dígitos em itálico no verso do cartão de crédito. Para American Express, é o número de 4 dígitos na frente, logo acima do número do cartão de crédito"
"Credit card number does not match credit card type.","O número do cartão de crédito não corresponde ao tipo de cartão de crédito."
"Please enter a valid credit card type number.","Insira um número de tipo de cartão de crédito válido."
"Please enter a valid credit card number.","Por favor digite um número de cartão de crédito válido."
"Incorrect credit card expiration month.","Mês de vencimento incorreto."
"Please enter a valid credit card verification number.","Insira um número de CVV (código de segurança) válido."
"Incorrect credit card expiration year.","Ano de vencimento incorreto."
"%1x of %2 not interest","%1x de %2 sem juros"
"%1% of discount cash with total of %2","%1% de desconto no total de %2"
"%1x of %2 in the total value of %3","%1x de %2 no valor total de %3"
"Payment Services","Serviços de Pagamento"
"Permission for config Moip","Permissão de configuração para o módulo Moip"
"Permission for set preference account Moip","Permissão de definição de preferência para módulo Moip"
"<div class='moip-payment-logo'></div><div class='moip-payment-byline'><p>Moip by PagSeguro is a complete payment solution exclusive to <b>Brazil</b>.</p><p>The complete solution for receiving payments and simplifying your business finances. Our solution has everything you need to accept all payment methods.</p></div>","<div class='moip-payment-logo'></div><div class='moip-payment-byline'><p>Moip by PagSeguro é uma solução de pagamento exclusiva para o <b>Brasil</b>.</p><p>A solução completa para receber pagamentos e simplificar as finanças do seu negócio. Nossa solução tem tudo que você precisa para aceitar todos meios de pagamento.</p></div>"
"Attribute Relationship Definition","Relacionamento de atributo"
"List the attributes of your Magento the data expected by our API","Informe em quais campos são coletados os atributos esperados por nossa API."
"The CPF/CNPJ will be an attribute obtained from the","O CPF/CNPJ será um atributo obtido do"
"The CPF/CNPJ attribute is","O atributo do CPF/CNPJ é"
"The Street attribute is","O logradouro (rua) é"
"The address number is","O número do endereço é"
"The address district is","O bairro é"
"The address complement is","O complemento do endereço é"
Credentials,Credencial de acesso
Environment,Ambiente
"Module Authorization","Autorização do módulo"
"Warning because the sandbox account is not the same as production","Atenção pois a conta de sandbox não é mesma de produção"
"Statement Descriptor","Nome da Loja"
"Store segment","Segmento da Loja"
"Moip - Cartão de Crédito","Moip - Cartão de Crédito"
Enabled,Habilitado
Title,Título
"Enable Vault","Habilitar Cartão de Crédito salvo (Vault)"
"Payer Data Capture","Captura dos dados do pagador"
"Capture tax document (CPF or CNPJ) in the payment form?","Captura documento fiscal (CPF ou CNPJ) no formulário de pagamento?"
"Capture date of birth in the payment form?","Captura a data de nascimento no formulário de pagamento?"
"Capture phone in the payment form?","Capturar telefone no formulário de pagamento?"
"Installment and interest","Parcelamento e taxas de juros"
"Interest rate","Tipo de juros"
"Minimum value of installment","Valor mínimo da parcela"
"Maximum number of installments","Número máximo de parcelas"
"Interest on the 2nd tranche","Juros da 2ª parcela"
"Interest on the 3nd tranche","Juros da 3ª parcela"
"Interest on the 4nd tranche","Juros da 4ª parcela"
"Interest on the 5nd tranche","Juros da 5ª parcela"
"Interest on the 6nd tranche","Juros da 6ª parcela"
"Interest on the 7nd tranche","Juros da 7ª parcela"
"Interest on the 8nd tranche","Juros da 8ª parcela"
"Interest on the 9nd tranche","Juros da 9ª parcela"
"Interest on the 10nd tranche","Juros da 10ª parcela"
"Interest on the 11nd tranche","Juros da 11ª parcela"
"Interest on the 12nd tranche","Juros da 12ª parcela"
"Payment Action","Ação de Pagamento"
"Moip - Boleto","Moip - Boleto"
"Days due","Dias de vencimento"
"Instruction - 1st line","1ª Linha de instrução"
"Instruction - 2st line","2ª Linha de instrução"
"Instruction - 3st line","3ª Linha de instrução"
"Customer orientation at checkout","Orientação ao cliente no checkout"
"Capture name in the payment form?","Capturar nome do pagador no formulário de pagamento?"
"Moip - Checkout diretamente no Moip","Moip - Checkout diretamente no Moip"
"Allows payment in installments per order","Permite parcelamento definido a cada pedido"
"Maximum installments allowed","Parcelas máximas permitidas"
"Payment Config","Configuração de Pagamento"
Debug,Debug - Úsar apenas em ambiente de teste (Sandbox)
"Minimum Order Total","Total mínimo do pedido"
"Maximum Order Total","Total máximo do pedido"
"Payment From Applicable Countries","Pagamento de países aplicáveis"
"Payment From Specific Countries","Pagamento de países específicos"
"Sort Order","Ordem de exibição"
"Payment Split","Payment Split"
"Use Split","Usar Split"
"MPA - Secondary","MPA - Secundário"
"Include Freight on Commission","Incluir o valor do frete no cálculo da comissão"
"Include credit card interest in the commission","Incluir o valor do juros de parcelamento no cálculo da comissão"
"Percentage sent to the commissioner","Percentual de comissão enviada"
"O identificador próprio não foi informado.","O identificador próprio não foi informado."
"O nome não foi informado.","O nome não foi informado."
"O nome informado não é válido.","O nome informado não é válido."
"O nome informado não pode conter só números.","O nome informado não pode conter só números."
"O e-mail não foi informado.","O e-mail não foi informado."
"O e-mail informado é inválido.","O e-mail informado é inválido."
"A data de nascimento informada é inválida.","A data de nascimento informada é inválida."
"O identificador próprio deve ser único, já existe um customer com o identificador informado.","O identificador próprio deve ser único, já existe um customer com o identificador informado."
"É necessário informar os dados do comprador.","É necessário informar os dados do comprador."
"A data de nascimento não foi informada.","A data de nascimento não foi informada."
"A estrutura de informações do documento não foi informada.","A estrutura de informações do documento não foi informada."
"A estrutura de telefone não foi informado.","A estrutura de telefone não foi informado."
"A estrutura de endereço não foi informado.","A estrutura de endereço não foi informado."
"O CNPJ informado deve ter 14 números.","O CNPJ informado deve ter 14 números."
"O código de país do telefone informado deve ser numérico.","O código de país do telefone informado deve ser numérico."
"O código de área local do telefone deve ser informado.","O código de área local do telefone deve ser informado."
"O código de área local do telefone informado deve ser numérico.","O código de área local do telefone informado deve ser numérico."
"O número de telefone não foi informado.","O número de telefone não foi informado."
"O número de telefone deve ser numérico.","O número de telefone deve ser numérico."
